Instructor,A rate,Pass rate,Withdraw rate
"Gorry, Devon Merritt Haskell",53.5,88.0,2.0
"Marshall, Robert Christopher",17.0,76.0,13.0
"Shiffman, Gary",86.0,100.0,0.0
"Dougan, William R",20.0,80.0,10.0
"Simon, Curtis J",63.5,94.5,0.0
"Wilson, Paul Wayne",36.0,81.0,9.0
"Fleck, Robert Kenneth",63.0,101.0,0.0
"Templeton, Scott R.",27.0,100.0,0.0
"Espey, Eamon Earl",84.0,100.0,0.0
"Drukker, David",75.0,100.0,0.0
"Moreland, Madeline",88.0,94.0,6.0
"York, Erin Shealy",76.71428571428571,98.42857142857142,0.0
"Durham, Sheliah Gwyn",86.0,98.0,0.0
"Eicher, Laura Cohen",97.0,99.0,2.0
"Eaton, Jennifer Bryson",94.0,97.0,3.0
